Timestamp,Position_N,Position_E,Position_D,Velocity_N,Velocity_E,Velocity_D,Attitude_Roll,Attitude_Pitch,Attitude_Yaw,Motor_RPMs
1747351080.237486,0.029000001028180122,47.397971,8.5461634,-0.009999999776482582,-0.019999999552965164,-0.25,0.02228771150112152,-0.06881996989250183,90.44233703613281,0
1747351080.338146,0.03800000250339508,47.397971,8.5461634,-0.009999999776482582,-0.019999999552965164,-0.28999999165534973,0.0644800066947937,-0.12462350726127625,90.2536392211914,0
1747351080.4387858,0.04400000348687172,47.3979709,8.5461634,-0.009999999776482582,-0.019999999552965164,-0.3199999928474426,0.10841714590787888,-0.16192810237407684,90.09561157226562,0
1747351080.5394397,0.05400000140070915,47.3979709,8.5461634,-0.009999999776482582,-0.009999999776482582,-0.35999998450279236,0.17842748761177063,-0.21532727777957916,89.8095474243164,0
1747351080.6400352,0.06200000271201134,47.3979709,8.5461634,-0.019999999552965164,-0.009999999776482582,-0.38999998569488525,0.21922729909420013,-0.24918930232524872,89.58592987060547,0
1747351080.740634,0.07400000095367432,47.3979709,8.5461634,-0.019999999552965164,-0.009999999776482582,-0.429999977350235,0.27052757143974304,-0.2977120578289032,89.20042419433594,0
1747351080.8414729,0.08300000429153442,47.3979709,8.5461634,-0.019999999552965164,0.0,-0.44999998807907104,0.30290487408638,-0.32804539799690247,88.9096450805664,0
1747351080.9421377,0.09700000286102295,47.3979709,8.5461634,-0.019999999552965164,0.0,-0.47999998927116394,0.3557507395744324,-0.3695644736289978,88.42216491699219,0
1747351081.0428646,0.10600000619888306,47.3979709,8.5461634,-0.019999999552965164,0.0,-0.4899999797344208,0.39364853501319885,-0.39396968483924866,88.06253051757812,0
1747351081.1435156,0.1210000067949295,47.3979709,8.5461634,-0.029999999329447746,0.0,-0.5,0.4492878317832947,-0.4258462190628052,87.4712142944336,0
1747351081.2443948,0.13100001215934753,47.3979709,8.5461634,-0.029999999329447746,0.0,-0.5,0.48277556896209717,-0.44413071870803833,87.04240417480469,0
1747351081.3450634,0.14600001275539398,47.3979709,8.5461634,-0.029999999329447746,0.0,-0.4899999797344208,0.5257133841514587,-0.4676589071750641,86.34716796875,0
1747351081.4457648,0.15600000321865082,47.397970799999996,8.5461634,-0.029999999329447746,0.0,-0.4899999797344208,0.5503185391426086,-0.4809049963951111,85.84889221191406,0
1747351081.5463426,0.17100000381469727,47.397970799999996,8.5461635,-0.029999999329447746,0.009999999776482582,-0.47999998927116394,0.58376544713974,-0.4979459047317505,85.04920196533203,0
1747351081.6470864,0.18000000715255737,47.397970799999996,8.5461635,-0.029999999329447746,0.009999999776482582,-0.47999998927116394,0.6042556166648865,-0.5074301958084106,84.48136901855469,0
1747351081.7476985,0.19500000774860382,47.397970799999996,8.5461635,-0.029999999329447746,0.009999999776482582,-0.4899999797344208,0.6320311427116394,-0.5184761881828308,83.57698822021484,0
